GrantID,GrantName,Amount,Deadline,GrantDescription,GrantType,ApplicationProcess,Province,FundingSource,EligibleDemographics,FocusArea,MatchFundingRequired,TaxImplications,EligibilityCriteria,InformationLink,Country,EliglibleExpenses,IneliglibleExpenses
1001,"Agri-Food and Bio-Industrial Innovation","Up to 500K",Ongoing,"Funding for agri-food tech in Alberta",0,"Must align with Program objectives",Alberta,Government,"SMEs, R&D orgs","Agriculture, Bio-industrial tech",0,"Not specified","Tech readiness level 3-7, 3-year completion",https://www.mentorworks.ca,canada,NULL,NULL
1002,"Alberta Innovates - Accelerating Innovations","Up to 600K",Continuous,"Supports commercialization of health tech",0,"Health provider collaboration required",Alberta,Provincial,"Health SMEs","Health technology",0,"Not specified","Must be Alberta-based, health entity or institution",https://www.mentorworks.ca,canada,NULL,NULL
1003,"BDC Financial Loan","Up to 250K",Ongoing,"Loans for small businesses",0,"Must operate >12 months",Canada-wide,Federal,"Small businesses","Business growth, cash flow",0,Deductible,"Must meet operation criteria",https://client.bdc.ca?language=en,canada,NULL,NULL
1004,"Futurpreneur Startup Loan","Up to 60K",Ongoing,"Loans and mentorship for young entrepreneurs",0,"Structured mentorship program",Canada-wide,Private,"Youth (18-39)","Startups, Indigenous, Women-led",0,"Not specified","Business registration, Indigenous criteria optional",https://futurpreneur.ca/offering/core,canada,NULL,NULL
1005,"Innovation Academic Partnership","Varies by project","Varies by project","Supports collaboration between universities and industry",0,"University-industry project alignment required",Ontario,Provincial,"Universities, industry","Academic R&D",0,"Not specified","Project must align with Ontario innovation strategy",https://www.oc-innovation.ca,canada,NULL,NULL
1006,"International Tech Partnership","Up to 250K",Ongoing,"Helps SMEs in Alberta expand with international partners",0,"Partner with international project",Alberta,Government,SMEs,"Technology, international expansion",0,"Not specified","Alberta-based, significant operational presence in Alberta",https://www.mentorworks.ca,canada,NULL,NULL
1007,"Atlantic Canada Loans Fund",Varies,Ongoing,"Supports growth projects for Atlantic Canada-based businesses",0,"Pre-approval for funding","Atlantic provinces",Federal,SMEs,"Various industries",0,"Not specified","Specific to Atlantic Canadian businesses",https://www.mentorworks.ca,canada,NULL,NULL
1008,"HR Tips Strategy Program","Not specified",Ongoing,"Offers HR tips and strategy for SMEs",0,"Meet HR criteria for support",Canada-wide,Government,SMEs,"Human resources",0,"Not specified","Must meet HR support criteria",https://www.mentorworks.ca,canada,NULL,NULL
1009,"Prince Edward Island Employment Fund",Varies,Ongoing,"Employment support fund for businesses in PEI",0,"PEI-based employment program requirements","Prince Edward Island",Provincial,"PEI businesses","Employment and workforce development",0,"Not specified","PEI-based businesses only",https://www.peiemploymentfund.ca,canada,NULL,NULL
1010,"Quebec Regional Development Fund","Up to 100K",Quarterly,"Regional funding for Quebec development projects",0,"Regional project alignment",Quebec,Provincial,"Regional businesses","Regional development",0,"Not specified","Must align with regional goals in Quebec",https://www.mentorworks.ca,canada,NULL,NULL
1011,"Ontario AMIC Advanced Manufacturing","Up to 1M",Annual,"Funding for advanced manufacturing innovation",0,"Industry alignment for Ontario region",Ontario,Provincial,"Advanced manufacturing businesses","Manufacturing innovation",0,"Not specified","Must be Ontario-based, manufacturing focus",https://www.ontarioadvancedmanufacturing.ca,canada,NULL,NULL
1012,"Ontario CME TIP","Up to 150K",Quarterly,"Funding for technology and industrial projects",0,"Meet CME TIP requirements",Ontario,Provincial,"Tech and industrial companies","Technology and industry",0,"Not specified","Must meet Ontario technology criteria",https://www.mentorworks.ca,canada,NULL,NULL
1013,"Ontario Government Employment Support",Varies,Ongoing,"Employment support and skills training in Ontario",0,"Ontario skills program compliance",Ontario,Provincial,"Ontario workforce","Employment support",0,Deductible,"Ontario-based workforce development",https://www.ontarioemployment.gov.on.ca,canada,NULL,NULL
1014,"Voucher Program for Innovation","Up to 50K",Ongoing,"Innovation vouchers for tech development",0,"Submit project proposal for approval",Canada-wide,Government,"Innovation-driven businesses","Innovation and R&D",0,"Not specified","Must be innovation-oriented",https://www.mentorworks.ca,canada,NULL,NULL
1015,"Clean Tech Development Initiative","Up to 750K",Annual,"Clean technology grants for sustainable projects",0,"Must meet environmental standards",Canada-wide,Government,"Clean technology firms","Clean technology",0,Tax-exempt,"Environmental focus required",https://www.clean-tech.ca,canada,NULL,NULL
1016,"Digital Economy Boost Program","Up to 200K",Quarterly,"Grants for boosting digital economy projects",0,"Digital economy alignment",Canada-wide,Federal,"Digital startups","Digital economy",0,"Not specified","Digital economy alignment required",https://www.digitalboost.ca,canada,NULL,NULL
1017,"Export Development Canada Financing","Up to 1M",Ongoing,"Financing for export and international expansion",0,"Must meet export readiness requirements",Canada-wide,Federal,SMEs,"International business",0,"Not specified","Must meet export readiness criteria",https://www.edc.ca/en/,canada,NULL,NULL
1018,"Accelerating Innovations into CarE (AICE) – Tech for Healthy Aging","Up to $200,000 CAD for AICE - Concepts; ",Annual,"Advancement and validation of technologies that help older adults and caregivers achieve better health and quality of life as they age in the place of their choosing",0,"submit an AICE Intake form and and set up a meeting with Alberta Innovates",Alberta,Provincial,"SMEs, Academic institutions","Health technology",0,"Not specified","Must align with Alberta Innovates' AICE - Concepts or AICE - Validate programs and advance novel technology-enabled solutions, consider at-risk and equity-deserving populations, and align with at least one AGE-WELL Challenge Areas",https://albertainnovates.ca/funding/accelerating-innovations-into-care-aice-tech-for-healthy-aging/,canada,NULL,NULL
1019,"Bitumen Partial Upgrading Program","Not Specified",Continuous,"Supports tech enhancing bitumen value while reducing emissions",0,"Contact advisor, register on SmartSimple, submit Intake Form, await review",Alberta,Provincial,"SMEs, R&D orgs","Technology and industry",0,"Not specified","Open to all advancing tech in TRL 3-7, must show value for Alberta",https://albertainnovates.ca/funding/bitumen-partial-upgrading-program/,canada,NULL,NULL
1020,"Accelerating Innovations into CarE (AICE) – Concepts","Up to $200K (SMEs), $600K (researchers)",Annual,"Accelerates early-stage health research and innovation with high commercial potential",0,"Register intent, then full application via SmartSimple",Alberta,Provincial,"SMEs, Academic institutions","Health technology",0,"Not specified","Alberta-based, tech-focused, at least two health innovation domains within the health innovation cycle",https://albertainnovates.ca/funding/accelerating-innovations-into-care-aice-concepts/,canada,NULL,NULL
1021,"Accelerating Innovations into CarE (AICE) – Market Access","Up to $600,000 CAD ( 75% of total projec","Closed (as of February 6, 2025)","Supports Alberta-based emerging health tech companies to generate evidence for market access and commercialization",0,"Self-assess fit, submit intake form, attend intake meeting, submit full application if invited",Alberta,Provincial,SMEs,"Health technology",1,"Not specified","Alberta-based SMEs with significant presence, appropriate ownership, intent for Alberta benefits",https://albertainnovates.ca/funding/accelerating-innovations-into-care-aice-market-access/,canada,NULL,NULL
1022,"Accelerating Innovations into CarE (AICE) – Validate","Up to $300,000 CAD","Closed (as of November 8, 2024)","Supports Alberta researchers and SMEs to validate health technologies for commercialization",0,"Self-assess fit, submit intake form, attend intake meeting, submit full application if invited",Alberta,Provincial,"SMEs, Academic institutions","Health technology",1,"Not specified","Alberta-based, strong proof-of-concept, competitive technology, ownership rights, experienced team",https://albertainnovates.ca/funding/accelerating-innovations-into-care-aice-validate/,canada,NULL,NULL
1023,"Advancing Hydrogen – Competition 1","Not specified","Closed (as of February 6, 2025)","Funds projects to develop hydrogen technology and its impact on Alberta's economy",0,"Register on SmartSimple, attend webinar, submit intake form, await review, submit detailed proposal, execute agreement",Alberta,Provincial,"SMEs, Academic institutions, industry","Clean technology",1,"Not specified","Alberta-based or intending to create physical presence, legal entity, good financial standing with Alberta Innovates",https://albertainnovates.ca/funding/advancing-hydrogen-competition-1/,canada,NULL,NULL
1024,"Advancing Hydrogen – Competition 2","Up to $2 million for TRL 3-6 projects, u","Closed (as of February 6, 2025)","Funds projects to develop and deploy hydrogen technologies, supporting Alberta's hydrogen economy",0,"Register on SmartSimple, attend webinar, submit intake form, await review, submit detailed proposal, execute agreement",Alberta,Provincial,"SMEs, Academic institutions, researchers","Clean technology",1,"Not specified","Alberta-based, clear pathway to creating tangible impacts in Alberta, measurable benefits in specified areas",https://albertainnovates.ca/funding/advancing-hydrogen-competition-2/,canada,NULL,NULL
1025,"Agri-Food and Bioindustrial Innovation Program","Up to $500,000 per project, covering up ",Continuous,"Development of technologies for Alberta's agri-food, forestry and bioindustrial sectors",0,"Register on SmartSimple, submit intake form, await invitation for full proposal if selected",Alberta,Provincial,"SMEs, Academic institutions","Health technology",1,"Not specified","Open to SMEs, industry organizations, R&D organizations, post-secondary institutions, government research labs; must demonstrate clear benefits for Alberta",https://albertainnovates.ca/funding/agri-food-and-bio-industrial-innovation-program/,canada,NULL,NULL
1026,"Alberta Digital Traction Program","Up to $50,000",Continuous,"Supports Alberta digital tech companies with software development at their core to increase customers, revenue, and scale globally",0,"Connect with Alberta Innovates, then submit application through SmartSimple online portal",Alberta,Provincial,SMEs,Technology,0,"Not specified","Alberta-based digital tech company, <50 full-time employees, <$1M annual recurring revenue, minimum viable product, competitive advantage",https://albertainnovates.ca/funding/alberta-digital-traction-program/,canada,NULL,NULL
1027,"Bioenergy and Circular Economy","Not specified",Continuous,"Supports projects focused on renewable fuels, waste conversion, and building a circular economy in plastics",0,"Contact advisor, register on SmartSimple, submit intake form, await review for detailed proposal invitation",Alberta,Provincial,"SMEs, Academic institutions, R&D orgs",Technology,0,"Not specified","Open to SMEs, industry organizations, R&D organizations, post-secondary institutions, government research labs; must demonstrate clear benefits for Alberta",https://albertainnovates.ca/funding/bioenergy-and-circular-economy/,canada,NULL,NULL
1028,"Bitumen Advanced Materials (BAM)","Not specified",Continuous,"Develops technologies to convert oil sands components into non-combustion products.",0,"Contact advisor, register on SmartSimple, submit intake form, await review for detailed proposal invitation",Alberta,Provincial,"SMEs, Academic institutions, R&D orgs","Advanced Hydrocarbons",0,"Not specified","Open to technology developers, industry, SMEs, R&D organizations, post-secondary institutions, municipalities, not-for-profits, government labs, individuals advancing technology within TRL 3-7",https://albertainnovates.ca/funding/bitumen-advanced-materialc-bam-program/,canada,NULL,NULL
